date,total_rides,member_rides,casual_rides,electric_rides,classic_rides,rush_hour_rides,avg_duration,median_duration,unique_stations,pct_member,pct_casual,pct_electric,pct_rush_hour,day_of_week,day_name,month,year,is_weekend,season,AWND,PRCP,SNOW,TMAX,TMIN,TAVG,is_rainy,is_snowy,is_bad_weather
2025-02-28,371,286,85,302,69,0,19.09,14.19,271,77.09,22.91,81.4,0.0,4,Friday,2,2025,0,Winter,3.0,0.0,0.0,10.6,5.0,7.8,0.0,0.0,0.0
2025-03-01,97252,78424,18828,67896,29356,0,12.09,8.66,2160,80.64,19.36,69.81,0.0,5,Saturday,3,2025,1,Spring,4.3,0.0,0.0,17.8,-2.7,7.550000000000001,0.0,0.0,0.0
2025-03-02,54862,48361,6501,38006,16856,0,9.38,6.89,2091,88.15,11.85,69.28,0.0,6,Sunday,3,2025,1,Spring,4.3,0.0,0.0,0.6,-6.6,-3.0,0.0,0.0,0.0
2025-03-03,79107,72586,6521,54502,24605,27954,9.34,7.04,2148,91.76,8.24,68.9,35.34,0,Monday,3,2025,0,Spring,2.0,0.0,0.0,3.9,-4.9,-0.5000000000000002,0.0,0.0,0.0
2025-03-04,104848,94698,10150,73481,31367,37272,10.2,7.63,2178,90.32,9.68,70.08,35.55,1,Tuesday,3,2025,0,Spring,1.8,0.0,0.0,11.1,1.1,6.1,0.0,0.0,0.0
2025-03-05,71670,65178,6492,51038,20632,21390,9.52,7.22,2137,90.94,9.06,71.21,29.85,2,Wednesday,3,2025,0,Spring,3.2,43.4,0.0,12.2,5.6,8.899999999999999,1.0,0.0,1.0
2025-03-06,101319,91434,9885,70133,31186,34857,10.15,7.65,2174,90.24,9.76,69.22,34.4,3,Thursday,3,2025,0,Spring,3.8,0.0,0.0,12.8,2.2,7.5,0.0,0.0,0.0
2025-03-07,97458,86162,11296,69900,27558,29495,9.97,7.48,2167,88.41,11.59,71.72,30.26,4,Friday,3,2025,0,Spring,5.3,0.0,0.0,10.0,1.1,5.55,0.0,0.0,0.0
2025-03-08,82852,69748,13104,58528,24324,0,10.81,7.98,2147,84.18,15.82,70.64,0.0,5,Saturday,3,2025,1,Spring,4.0,0.0,0.0,7.2,2.2,4.7,0.0,0.0,0.0
2025-03-09,80365,67102,13263,55878,24487,0,11.38,8.1,2166,83.5,16.5,69.53,0.0,6,Sunday,3,2025,1,Spring,3.2,0.0,0.0,11.7,0.0,5.85,0.0,0.0,0.0
2025-03-10,117952,102535,15417,80598,37354,40801,11.56,8.43,2193,86.93,13.07,68.33,34.59,0,Monday,3,2025,0,Spring,2.5,0.0,0.0,18.9,7.2,13.049999999999999,0.0,0.0,0.0
2025-03-11,133056,115810,17246,91062,41994,46753,11.54,8.5,2195,87.04,12.96,68.44,35.14,1,Tuesday,3,2025,0,Spring,1.7,0.0,0.0,18.3,6.7,12.5,0.0,0.0,0.0
2025-03-12,121032,107473,13559,83885,37147,42576,10.46,7.9,2180,88.8,11.2,69.31,35.18,2,Wednesday,3,2025,0,Spring,2.8,0.0,0.0,12.8,5.6,9.2,0.0,0.0,0.0
2025-03-13,117493,103686,13807,81624,35869,39637,10.37,7.81,2179,88.25,11.75,69.47,33.74,3,Thursday,3,2025,0,Spring,3.5,0.0,0.0,10.0,3.9,6.95,0.0,0.0,0.0
2025-03-14,120777,103451,17326,86567,34210,36163,10.94,8.07,2184,85.65,14.35,71.68,29.94,4,Friday,3,2025,0,Spring,2.3,0.0,0.0,13.9,4.4,9.15,0.0,0.0,0.0
2025-03-15,92429,75761,16668,66710,25719,0,11.48,8.41,2166,81.97,18.03,72.17,0.0,5,Saturday,3,2025,1,Spring,1.9,0.0,0.0,9.4,5.0,7.2,0.0,0.0,0.0
2025-03-16,89897,72673,17224,64073,25824,0,11.85,8.57,2170,80.84,19.16,71.27,0.0,6,Sunday,3,2025,1,Spring,3.1,0.3,0.0,16.1,8.3,12.200000000000001,0.0,0.0,0.0
2025-03-17,85657,76551,9106,61322,24335,29105,9.88,7.37,2170,89.37,10.63,71.59,33.98,0,Monday,3,2025,0,Spring,2.2,23.4,0.0,15.0,2.8,8.9,1.0,0.0,1.0
2025-03-18,122452,107076,15376,86360,36092,42793,11.23,8.26,2203,87.44,12.56,70.53,34.95,1,Tuesday,3,2025,0,Spring,1.5,0.0,0.0,16.1,1.7,8.9,0.0,0.0,0.0
2025-03-19,131118,113598,17520,92514,38604,44420,11.35,8.34,2209,86.64,13.36,70.56,33.88,2,Wednesday,3,2025,0,Spring,2.0,0.0,0.0,17.2,6.1,11.649999999999999,0.0,0.0,0.0
2025-03-20,97847,86942,10905,70463,27384,34777,9.95,7.52,2193,88.86,11.14,72.01,35.54,3,Thursday,3,2025,0,Spring,2.6,26.9,0.0,11.1,5.6,8.35,1.0,0.0,1.0
2025-03-21,103476,89731,13745,75074,28402,30647,10.38,7.69,2192,86.72,13.28,72.55,29.62,4,Friday,3,2025,0,Spring,4.7,0.8,0.0,10.6,3.3,6.949999999999999,0.0,0.0,0.0
2025-03-22,110672,86879,23793,78729,31943,0,12.88,9.29,2200,78.5,21.5,71.14,0.0,5,Saturday,3,2025,1,Spring,3.0,0.0,0.0,17.8,4.4,11.100000000000001,0.0,0.0,0.0
