station_id,station_name,total_departures,member_dep,casual_dep,electric_dep,lat,lng,avg_duration,total_arrivals,net_flow,pct_member
6140.05,W 21 St & 6 Ave,161668,145416,16252,103991,40.74173969,-73.99415556,9.63,162257,589,89.95
6233.04,Pier 61 at Chelsea Piers,147220,117922,29298,95346,40.746872,-74.00821,13.19,147691,471,80.1
5788.13,Lafayette St & E 8 St,143000,124923,18077,87173,40.73020660529954,-73.99102628231049,10.11,143703,703,87.36
6331.01,W 31 St & 7 Ave,134028,112974,21054,97590,40.749156,-73.9916,10.96,134126,98,84.29
6492.08,9 Ave & W 33 St,131825,113170,18655,93455,40.752568,-73.996765,11.29,132947,1122,85.85
5329.03,West St & Chambers St,131362,99084,32278,79063,40.71754834,-74.01322069,15.5,131919,557,75.43
5905.12,Broadway & E 14 St,130023,110669,19354,84143,40.73454567,-73.99074142,9.9,129607,-416,85.11
6726.01,11 Ave & W 41 St,126916,108403,18513,92867,40.76030096,-73.99884222,11.34,126571,-345,85.41
5905.14,University Pl & E 14 St,125477,107320,18157,82719,40.734814,-73.992085,10.04,126168,691,85.53
6948.10,Broadway & W 58 St,124936,94015,30921,90735,40.76695317,-73.98169333,16.33,116613,-8323,75.25
5980.10,E 17 St & Broadway,122407,105269,17138,79199,40.737006,-73.990134,10.68,86162,-36245,86.0
6459.07,W 30 St & 10 Ave,115393,95716,19677,87092,40.752694,-74.002353,12.78,115760,367,82.95
6364.07,6 Ave & W 33 St,115205,96042,19163,74503,40.74901271,-73.98848395,11.28,114414,-791,83.37
6173.08,Broadway & W 25 St,115007,96328,18679,80091,40.74286877312112,-73.98918628692627,11.67,115690,683,83.76
5492.05,Cleveland Pl & Spring St,114150,91767,22383,84720,40.722103786686034,-73.99724900722504,12.27,114911,761,80.39
5779.11,Ave A & E 14 St,112973,100080,12893,64344,40.73031071000895,-73.98047178983688,7.91,112603,-370,88.59
6197.08,E 33 St & 1 Ave,112567,99979,12588,78207,40.74322681432173,-73.97449783980846,10.24,112953,386,88.82
6912.01,7 Ave & Central Park South,112295,61715,50580,83110,40.7667405590595,-73.9790689945221,23.52,110982,-1313,54.96
6450.05,8 Ave & W 31 St,110991,93134,17857,76305,40.7505853470215,-73.9946848154068,12.39,111468,477,83.91
5374.01,Norfolk St & Broome St,110920,94005,16915,73539,40.7172274,-73.98802084,11.26,112224,1304,84.75
6072.06,Greenwich Ave & 8 Ave,108244,93492,14752,72404,40.7390169121,-74.0026376103,10.12,109494,1250,86.37
6822.09,1 Ave & E 68 St,107403,97091,10312,78199,40.76500525,-73.95818491,13.43,108225,822,90.4
6432.09,Park Ave & E 42 St,107305,89300,18005,82501,40.751873,-73.977706,12.22,108171,866,83.22
6876.04,Central Park S & 6 Ave,106528,48046,58482,74421,40.76590936,-73.97634151,26.63,106625,97,45.1
6098.10,Broadway & E 21 St,104923,90183,14740,72461,40.739888408589955,-73.98958593606949,10.67,93798,-11125,85.95
6602.03,W 41 St & 8 Ave,103519,87374,16145,70071,40.75640548,-73.9900262,12.17,103309,-210,84.4
